Generated On;Active Power (kW);Reactive Power (kVar);Power Factor
"2020-05-19 00:00:00	";0.000;0.000;0.000
"2020-05-19 00:05:00	";0.000;0.000;0.000
"2020-05-19 00:10:00	";0.000;0.000;0.000
"2020-05-19 00:15:00	";0.000;0.000;0.000
"2020-05-19 00:20:00	";0.000;0.000;0.000
"2020-05-19 00:25:00	";0.000;0.000;0.000
"2020-05-19 00:30:00	";0.000;0.000;0.000
"2020-05-19 00:35:00	";0.000;0.000;0.000
"2020-05-19 00:40:00	";0.000;0.000;0.000
"2020-05-19 00:45:00	";0.000;0.000;0.000
"2020-05-19 00:50:00	";0.000;0.000;0.000
"2020-05-19 00:55:00	";0.000;0.000;0.000
"2020-05-19 01:00:00	";0.000;0.000;0.000
"2020-05-19 01:05:00	";0.000;0.000;0.000
"2020-05-19 01:10:00	";0.000;0.000;0.000
"2020-05-19 01:15:00	";0.000;0.000;0.000
"2020-05-19 01:20:00	";0.000;0.000;0.000
"2020-05-19 01:25:00	";0.000;0.000;0.000
"2020-05-19 01:30:00	";0.000;0.000;0.000
"2020-05-19 01:35:00	";0.000;0.000;0.000
"2020-05-19 01:40:00	";0.000;0.000;0.000
"2020-05-19 01:45:00	";0.000;0.000;0.000
"2020-05-19 01:50:00	";0.000;0.000;0.000
"2020-05-19 01:55:00	";0.000;0.000;0.000
"2020-05-19 02:00:00	";0.000;0.000;0.000
"2020-05-19 02:05:00	";0.000;0.000;0.000
"2020-05-19 02:10:00	";0.000;0.000;0.000
"2020-05-19 02:15:00	";0.000;0.000;0.000
"2020-05-19 02:20:00	";0.000;0.000;0.000
"2020-05-19 02:25:00	";0.000;0.000;0.000
"2020-05-19 02:30:00	";0.000;0.000;0.000
"2020-05-19 02:35:00	";0.000;0.000;0.000
"2020-05-19 02:40:00	";0.000;0.000;0.000
"2020-05-19 02:45:00	";0.000;0.000;0.000
"2020-05-19 02:50:00	";0.000;0.000;0.000
"2020-05-19 02:55:00	";0.000;0.000;0.000
"2020-05-19 03:00:00	";0.000;0.000;0.000
"2020-05-19 03:05:00	";0.000;0.000;0.000
"2020-05-19 03:10:00	";0.000;0.000;0.000
"2020-05-19 03:15:00	";0.000;0.000;0.000
"2020-05-19 03:20:00	";0.000;0.000;0.000
"2020-05-19 03:25:00	";0.000;0.000;0.000
"2020-05-19 03:30:00	";0.000;0.000;0.000
"2020-05-19 03:35:00	";0.000;0.000;0.000
"2020-05-19 03:40:00	";0.000;0.000;0.000
"2020-05-19 03:45:00	";0.000;0.000;0.000
"2020-05-19 03:50:00	";0.000;0.000;0.000
"2020-05-19 03:55:00	";0.000;0.000;0.000
"2020-05-19 04:00:00	";0.000;0.000;0.000
"2020-05-19 04:05:00	";0.000;0.000;0.000
"2020-05-19 04:10:00	";0.000;0.000;0.000
"2020-05-19 04:15:00	";0.000;0.000;0.000
"2020-05-19 04:20:00	";0.000;0.000;0.000
"2020-05-19 04:25:00	";0.000;0.000;0.000
"2020-05-19 04:30:00	";0.000;0.000;0.000
"2020-05-19 04:35:00	";0.000;0.000;0.000
"2020-05-19 04:40:00	";0.000;0.000;0.000
"2020-05-19 04:45:00	";0.000;0.000;0.000
"2020-05-19 04:50:00	";0.000;0.000;0.000
"2020-05-19 04:55:00	";0.000;0.000;0.000
"2020-05-19 05:00:00	";0.000;0.000;0.000
"2020-05-19 05:05:00	";0.122;-0.009;0.997
"2020-05-19 05:10:00	";1.050;0.011;0.999
"2020-05-19 05:15:00	";3.541;0.320;0.995
"2020-05-19 05:20:00	";7.080;0.850;0.992
"2020-05-19 05:25:00	";10.726;1.340;0.992
"2020-05-19 05:30:00	";15.346;2.020;0.991
"2020-05-19 05:35:00	";20.419;2.710;0.991
"2020-05-19 05:40:00	";25.229;3.410;0.990
"2020-05-19 05:45:00	";33.082;4.520;0.990
"2020-05-19 05:50:00	";38.068;5.250;0.990
"2020-05-19 05:55:00	";42.747;5.940;0.990
"2020-05-19 06:00:00	";47.621;6.600;0.990
"2020-05-19 06:05:00	";54.219;7.560;0.990
"2020-05-19 06:10:00	";61.546;8.590;0.990
"2020-05-19 06:15:00	";69.761;9.760;0.990
"2020-05-19 06:20:00	";77.983;10.930;0.990
"2020-05-19 06:25:00	";87.264;12.270;0.990
"2020-05-19 06:30:00	";98.940;13.930;0.990
"2020-05-19 06:35:00	";113.454;15.990;0.990
"2020-05-19 06:40:00	";131.287;18.550;0.990
"2020-05-19 06:45:00	";150.513;21.270;0.990
"2020-05-19 06:50:00	";172.866;24.440;0.990
"2020-05-19 06:55:00	";197.001;27.860;0.990
"2020-05-19 07:00:00	";222.416;31.500;0.990
"2020-05-19 07:05:00	";252.157;35.750;0.990
"2020-05-19 07:10:00	";280.022;39.710;0.990
"2020-05-19 07:15:00	";310.109;43.980;0.990
"2020-05-19 07:20:00	";341.532;48.470;0.990
"2020-05-19 07:25:00	";370.848;52.650;0.990
"2020-05-19 07:30:00	";405.303;57.590;0.990
"2020-05-19 07:35:00	";433.355;61.560;0.990
"2020-05-19 07:40:00	";462.863;65.800;0.990
"2020-05-19 07:45:00	";493.666;70.140;0.990
