DateTime;MSFT;AAPL;GOOG
15.05.2006 0:00;23,15;67,79;376,2
16.05.2006 0:00;23,01;64,98;371,3
17.05.2006 0:00;22,73;65,26;374,5
18.05.2006 0:00;22,83;63,18;370,99
19.05.2006 0:00;22,56;64,51;370,02
22.05.2006 0:00;22,88;63,38;370,95
23.05.2006 0:00;22,79;63,15;375,58
24.05.2006 0:00;23,5;63,34;381,25
25.05.2006 0:00;23,74;64,33;382,99
26.05.2006 0:00;23,72;63,55;381,35
30.05.2006 0:00;23,15;61,22;371,94
31.05.2006 0:00;22,65;59,77;371,82
01.06.2006 0:00;22,82;62,17;382,62
02.06.2006 0:00;22,76;61,66;379,44
05.06.2006 0:00;22,5;60;374,44
06.06.2006 0:00;22,13;59,72;389,99
07.06.2006 0:00;22,04;58,56;386,51
08.06.2006 0:00;22,11;60,76;393,3
09.06.2006 0:00;21,92;59,24;386,57
12.06.2006 0:00;21,71;57;381,54
13.06.2006 0:00;21,51;58,33;386,52
14.06.2006 0:00;21,88;57,61;384,39
15.06.2006 0:00;22,07;59,38;391
16.06.2006 0:00;22,1;57,56;390,7
19.06.2006 0:00;22,55;57,2;388,14
20.06.2006 0:00;22,56;57,47;387,17
21.06.2006 0:00;23,08;57,86;402,13
22.06.2006 0:00;22,88;59,58;399,95
23.06.2006 0:00;22,5;58,83;404,86
26.06.2006 0:00;22,82;58,99;404,22
27.06.2006 0:00;22,86;57,43;402,32
28.06.2006 0:00;23,16;56,02;406,11
29.06.2006 0:00;23,47;58,97;417,81
30.06.2006 0:00;23,3;57,27;419,33
03.07.2006 0:00;23,7;57,95;423,2
05.07.2006 0:00;23,35;57;421,46
06.07.2006 0:00;23,48;55,77;423,19
07.07.2006 0:00;23,3;55,4;420,45
10.07.2006 0:00;23,5;55;418,2
11.07.2006 0:00;23,1;55,65;424,56
12.07.2006 0:00;22,64;52,96;417,25
13.07.2006 0:00;22,26;52,25;408,83
14.07.2006 0:00;22,29;50,67;403,5
17.07.2006 0:00;22,48;52,37;407,89
18.07.2006 0:00;22,74;52,9;403,05
19.07.2006 0:00;23,4;54,1;399
20.07.2006 0:00;22,85;60,5;387,12
21.07.2006 0:00;23,87;60,72;390,11
24.07.2006 0:00;24;61,42;390,9
25.07.2006 0:00;24,22;61,93;389,36
26.07.2006 0:00;24,37;63,87;385,5
27.07.2006 0:00;23,87;63,4;382,4
28.07.2006 0:00;24,25;65,59;388,12
31.07.2006 0:00;24,06;67,96;386,6
01.08.2006 0:00;23,99;67,18;375,51
02.08.2006 0:00;24,3;68,16;367,23
03.08.2006 0:00;24,21;69,59;375,39
